,count,pair,word,cooccurword,alphaword
6454,2.0,"(citi,hospit)",citi,hospit,citihospit
6455,2.0,"(citi,household)",citi,household,citihousehold
6456,1.0,"(citi,housingand)",citi,housingand,citihousingand
6457,5.0,"(citi,hundr)",citi,hundr,citihundr
6458,2.0,"(citi,hurt)",citi,hurt,citihurt
6459,1.0,"(citi,ident)",citi,ident,citiident
6460,5.0,"(citi,improv)",citi,improv,citiimprov
6461,1.0,"(citi,incent)",citi,incent,citiincent
6462,3.0,"(citi,inequ)",citi,inequ,citiinequ
6463,2.0,"(citi,insight)",citi,insight,citiinsight
6464,1.0,"(citi,instabl)",citi,instabl,citiinstabl
6465,1.0,"(citi,inth)",citi,inth,citiinth
6466,3.0,"(citi,introduc)",citi,introduc,citiintroduc
6467,1.0,"(citi,jail)",citi,jail,citijail
6468,1.0,"(citi,jean)",citi,jean,citijean
6469,1.0,"(citi,jeff)",citi,jeff,citijeff
6470,2.0,"(citi,journal)",citi,journal,citijournal
6471,1.0,"(citi,jump)",citi,jump,citijump
6472,1.0,"(citi,katsela)",citi,katsela,citikatsela
6473,1.0,"(citi,kenyan)",citi,kenyan,citikenyan
6474,1.0,"(citi,kingdom)",citi,kingdom,citikingdom
6475,1.0,"(citi,l)",citi,l,citil
6476,2.0,"(citi,la)",citi,la,citila
6477,2.0,"(citi,largescal)",citi,largescal,citilargescal
6478,4.0,"(citi,latest)",citi,latest,citilatest
6479,1.0,"(citi,lay)",citi,lay,citilay
6480,1.0,"(citi,let)",citi,let,citilet
6481,1.0,"(citi,liber)",citi,liber,citiliber
6482,7.0,"(citi,light)",citi,light,citilight
6483,2.0,"(citi,link)",citi,link,citilink
6484,4.0,"(citi,locat)",citi,locat,citilocat
6485,1.0,"(citi,lock)",citi,lock,citilock
6486,3.0,"(citi,london)",citi,london,citilondon
6487,2.0,"(citi,lose)",citi,lose,citilose
6488,1.0,"(citi,macarthur)",citi,macarthur,citimacarthur
6489,1.0,"(citi,manuel)",citi,manuel,citimanuel
6490,2.0,"(citi,map)",citi,map,citimap
6491,1.0,"(citi,marco)",citi,marco,citimarco
6492,1.0,"(citi,meant)",citi,meant,citimeant
6493,2.0,"(citi,melilla)",citi,melilla,citimelilla
6494,1.0,"(citi,merchandis)",citi,merchandis,citimerchandis
6495,2.0,"(citi,metaphor)",citi,metaphor,citimetaphor
6496,1.0,"(citi,metric)",citi,metric,citimetric
6497,12.0,"(citi,mexico)",citi,mexico,citimexico
6498,1.0,"(citi,millionth)",citi,millionth,citimillionth
6499,1.0,"(citi,minim)",citi,minim,citiminim
6500,4.0,"(citi,mit)",citi,mit,citimit
6501,1.0,"(citi,monthslong)",citi,monthslong,citimonthslong
6502,2.0,"(citi,montreal)",citi,montreal,citimontreal
6503,1.0,"(citi,monument)",citi,monument,citimonument
6504,1.0,"(citi,mortgag)",citi,mortgag,citimortgag
6505,6.0,"(citi,most)",citi,most,citimost
6506,2.0,"(citi,motel)",citi,motel,citimotel
6507,1.0,"(citi,mta)",citi,mta,citimta
